# This automated data download from the USGS sediment portal have not received director's approval and as such are provisional and are subject to revision. The data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.
#
# Field name  Field description  Units
# SITE_NO   USGS site identifier
# SNAME   USGS site name      site
# LATITUDE   Decimal latitude (datum NAD83)
# LONGITUDE   Decimal longitude (datum NAD83)
# NWISDA1   Upstream drainage area   square miles
# STATE   U.S. State
# COUNTY_NAME   U.S. County
# ECO_L3_CODE   Level III Ecoregion Code
# ECO_L3_NAME   Level III Ecoregion name
# ECO_L2_CODE   Level II Ecoregion Code
# ECO_L2_NAME   Level II Ecoregion name
# ECO_L1_NAME   Level I Ecoregion name
# ECO_L1_CODE   Level I Ecoregion Code
# HUC_REGION_NAME   Hydrologic Unit Code Region name
# HUC_SUBREGION_NAME   Hydrologic Unit Code Subregion name
# HUC_BASIN_NAME   Hydrologic Unit Code Basin name
# HUC_SUBBASIN_NAME   Hydrologic Unit Code Subbasin name
# HUC_2   Hydrologic Unit Code Region Code
# HUC_4   Hydrologic Unit Code Subregion Code
# HUC_6   Hydrologic Unit Code Basin Code
# HUC_8   Hydrologic Unit Code Subbasin Code
# PERM   Average soil permeability   inches/hour
# BFI   Average baseflow index   percent
# KFACT   Average K-factor for the uppermost soil horizon   unitless
# RFACT  30 year rainfall and runoff factor  (100's ft-tonf in h-1 ac-1 yr-1) * 10
# PPT30  Mean annual precipitation from 1971-2000   centimeters
"# URBAN  Percentage of urban land (sum of NLCD classes 21, 22, 23, and 24)   percent"
"# FOREST  Percentage of forest land (sum of NLCD classes 41, 42, and 43)   percent"
# AGRIC  Percentage of agricultural land (sum of NLCD classes 81 and 82)   percent
"# MAJ_DAMS  Number of dams with >= 50 feet in height or having storage >= 5,000 acre-feet"
# NID_STOR   Dam storage   acre-feet
# CLAY   Average Percentage of soil clay content   percent
# SAND   Average Percentage of soil sand content   percent
# SILT   Average Percentage of soil silt content   percent
# BENCHMARK_SITE   1 indicates site is a part of the hydrologic benchmark network
# nhd.p1   1st percentile of daily flows
# nhd.p5   5th percentile of daily flows
# nhd.p10   10th percentile of daily flows
# nhd.p20   20th percentile of daily flows
# nhd.p25   25th percentile of daily flows
# nhd.p30   30th percentile of daily flows
# nhd.p40   40th percentile of daily flows
# nhd.p50   50th percentile of daily flows
# nhd.p60   60th percentile of daily flows
# nhd.p70   70th percentile of daily flows
# nhd.p75   75th percentile of daily flows
# nhd.p80   80th percentile of daily flows
# nhd.p90   90th percentile of daily flows
# nhd.p95   95th percentile of daily flows
# nhd.p99   99th percentile of daily flows
# SAMPLE_YEARS   Number of unique years in which daily suspended-sediment concentration or load data were collected (daily_sites data only)      
# SAMPLE_COUNT   Number of discrete suspended-sediment samples collected (discrete_sites data only)
#
#
SITE_NO,SNAME,LATITUDE,LONGITUDE,NWISDA1,STATE,COUNTY_NAME,ECO_L3_CODE,ECO_L3_NAME,ECO_L2_CODE,ECO_L2_NAME,ECO_L1_NAME,ECO_L1_CODE,HUC_REGION_NAME,HUC_SUBREGION_NAME,HUC_BASIN_NAME,HUC_SUBBASIN_NAME,HUC_2,HUC_4,HUC_6,HUC_8,PERM,BFI,KFACT,RFACT,PPT30,URBAN,FOREST,AGRIC,MAJ_DAMS,NID_STOR,CLAY,SAND,SILT,BENCHMARK_SITE,NHDP1,NHDP5,NHDP10,NHDP20,NHDP25,NHDP30,NHDP40,NHDP50,NHDP60,NHDP70,NHDP75,NHDP80,NHDP90,NHDP95,NHDP99,sample_count
03407908,"NEW RIVER AT CORDELL, TN",36.3361456353077,-84.4513287665035,198,Tennessee,,8.4.2,Central Appalachians,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Upper Cumberland,South Fork Cumberland,05,0513,051301,05130104,3.5985,35.8165,.21,275.89479,161.3538,2.673133503,89.704742327,.290569885,0,4807,20.09,23.922,55.988,0,4.8,9.6,17,38,50,67,110,171,237.8,330,413,520.4,1020,1660,4300,23
03408500,"NEW RIVER AT NEW RIVER, TN",36.3855167041972,-84.5547174415641,382,Tennessee,,8.4.9,Southwestern Appalachians,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Upper Cumberland,South Fork Cumberland,05,0513,051301,05130104,3.9092,34.33,.2208,251.70474,152.9432,4.686737838,83.982053396,2.16250648,1,11849,20.5339,25.1336,54.3325,0,1,7.3,18,43,62,85,150,264,416,616,757,935,1620,2800,7850,31
03409500,"CLEAR FORK NEAR ROBBINS, TN",36.3882875715871,-84.6301881357832,272,Tennessee,,8.4.9,Southwestern Appalachians,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Upper Cumberland,South Fork Cumberland,05,0513,051301,05130104,3.8206,31.129,.288,234.8509,141.8944,8.591630678,56.596127232,10.91500788,0,521,24.1125,27.4401,48.4475,0,2.9,6.2,11,25,34,48,91,160,258,387,488,615,1100,1860,4940.8,1
03414500,"EAST FORK OBEY RIVER NEAR JAMESTOWN, TN",36.4161789498622,-85.0263401915393,202,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Upper Cumberland,Obey,05,0513,051301,05130105,3.4212,30.7049,.2992,251.6449,147.5238,5.70197158,72.984596034,11.157283886,0,8179,25.4649,26.6846,47.8505,0,6,11,15,26,35,47,92,163,252,366,442,544,942,1560,4117,11
03418040,SPRING CREEK NEAR DODSON CHAPEL,36.2731164479025,-85.4230277657338,25.59,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Upper Cumberland,Upper Cumberland-Cordell Hull Reservoir,05,0513,051301,05130106,1.8201,31.8919,.337,255.68301,145.9088,8.507365602,57.207576047,30.833747848,0,130,32.0169,19.1145,48.8686,0,,,,,,,,,,,,,,,,135
03425000,"CUMBERLAND RIVER AT CARTHAGE, TN",36.2481099647189,-85.9552651929942,10690,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Lower Cumberland-Old Hickory Lake,05,0513,051302,05130201,2.5215,31.6784,.3055,230.71924,138.5373,7.285948954,63.294665209,19.781332828,14,10886393.63,29.2319,20.0387,50.7294,0,637,1300,2280,4410,5380,6390,8740,11400,14800,19400,22600,26600,39800,53600,90800,25
03426020,"DRAKES CREEK NEAR AVONDALE, TN",36.3367166718275,-86.5933286443664,,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Lower Cumberland-Old Hickory Lake,05,0513,051302,05130201,1.8082,28.8233,.3254,265.35055,130.4428,8.617966436,64.615004936,23.664856861,0,93,37.0608,16.4379,46.5013,0,,,,,,,,,,,,,,,,9
03426385,"MANSKER CREEK ABOVE GOODLETTSVILLE, TN",36.3390283338177,-86.7177802195092,27.7,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Lower Cumberland-Sycamore,05,0513,051302,05130202,2.5769,29.4516,.3084,266.76812,129.5264,10.871264825,75.661564964,9.494467634,0,132,31.2992,20.1255,48.5753,0,0.34,0.99,1.7,3.1,4,5.4,8.3,14,22,32,39,47,85,154,536.4,13
03431062,"MILL CREEK TRIB AT GLENROSE AVE, AT WOODBINE, TN",36.117280311841,-86.7269424380881,1.17,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Lower Cumberland-Sycamore,05,0513,051302,05130202,1.6914,26.9939,.3469,272.59199,127.275,98.21958457,1.309128993,.471286437,0,0,36.9115,10.5818,52.5067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
03431353,BROWNS CREEK TRIB AT NASHVILLE,36.1442238799583,-86.751109438949,.48,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Lower Cumberland-Sycamore,05,0513,051302,05130202,1.6843,27,.3459,273.37158,129.549,86.357417421,9.045106087,3.75703086,0,0,37.5649,11.896,50.5391,0,,,,,,,,,,,,,,,,7
