# This automated data download from the USGS sediment portal have not received director's approval and as such are provisional and are subject to revision. The data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.
#
# Field name  Field description  Units
# SITE_NO   USGS site identifier
# SNAME   USGS site name      site
# LATITUDE   Decimal latitude (datum NAD83)
# LONGITUDE   Decimal longitude (datum NAD83)
# NWISDA1   Upstream drainage area   square miles
# STATE   U.S. State
# COUNTY_NAME   U.S. County
# ECO_L3_CODE   Level III Ecoregion Code
# ECO_L3_NAME   Level III Ecoregion name
# ECO_L2_CODE   Level II Ecoregion Code
# ECO_L2_NAME   Level II Ecoregion name
# ECO_L1_NAME   Level I Ecoregion name
# ECO_L1_CODE   Level I Ecoregion Code
# HUC_REGION_NAME   Hydrologic Unit Code Region name
# HUC_SUBREGION_NAME   Hydrologic Unit Code Subregion name
# HUC_BASIN_NAME   Hydrologic Unit Code Basin name
# HUC_SUBBASIN_NAME   Hydrologic Unit Code Subbasin name
# HUC_2   Hydrologic Unit Code Region Code
# HUC_4   Hydrologic Unit Code Subregion Code
# HUC_6   Hydrologic Unit Code Basin Code
# HUC_8   Hydrologic Unit Code Subbasin Code
# PERM   Average soil permeability   inches/hour
# BFI   Average baseflow index   percent
# KFACT   Average K-factor for the uppermost soil horizon   unitless
# RFACT  30 year rainfall and runoff factor  (100's ft-tonf in h-1 ac-1 yr-1) * 10
# PPT30  Mean annual precipitation from 1971-2000   centimeters
"# URBAN  Percentage of urban land (sum of NLCD classes 21, 22, 23, and 24)   percent"
"# FOREST  Percentage of forest land (sum of NLCD classes 41, 42, and 43)   percent"
# AGRIC  Percentage of agricultural land (sum of NLCD classes 81 and 82)   percent
"# MAJ_DAMS  Number of dams with >= 50 feet in height or having storage >= 5,000 acre-feet"
# NID_STOR   Dam storage   acre-feet
# CLAY   Average Percentage of soil clay content   percent
# SAND   Average Percentage of soil sand content   percent
# SILT   Average Percentage of soil silt content   percent
# BENCHMARK_SITE   1 indicates site is a part of the hydrologic benchmark network
# nhd.p1   1st percentile of daily flows
# nhd.p5   5th percentile of daily flows
# nhd.p10   10th percentile of daily flows
# nhd.p20   20th percentile of daily flows
# nhd.p25   25th percentile of daily flows
# nhd.p30   30th percentile of daily flows
# nhd.p40   40th percentile of daily flows
# nhd.p50   50th percentile of daily flows
# nhd.p60   60th percentile of daily flows
# nhd.p70   70th percentile of daily flows
# nhd.p75   75th percentile of daily flows
# nhd.p80   80th percentile of daily flows
# nhd.p90   90th percentile of daily flows
# nhd.p95   95th percentile of daily flows
# nhd.p99   99th percentile of daily flows
# SAMPLE_YEARS   Number of unique years in which daily suspended-sediment concentration or load data were collected (daily_sites data only)      
# SAMPLE_COUNT   Number of discrete suspended-sediment samples collected (discrete_sites data only)
#
#
SITE_NO,SNAME,LATITUDE,LONGITUDE,NWISDA1,STATE,COUNTY_NAME,ECO_L3_CODE,ECO_L3_NAME,ECO_L2_CODE,ECO_L2_NAME,ECO_L1_NAME,ECO_L1_CODE,HUC_REGION_NAME,HUC_SUBREGION_NAME,HUC_BASIN_NAME,HUC_SUBBASIN_NAME,HUC_2,HUC_4,HUC_6,HUC_8,PERM,BFI,KFACT,RFACT,PPT30,URBAN,FOREST,AGRIC,MAJ_DAMS,NID_STOR,CLAY,SAND,SILT,BENCHMARK_SITE,NHDP1,NHDP5,NHDP10,NHDP20,NHDP25,NHDP30,NHDP40,NHDP50,NHDP60,NHDP70,NHDP75,NHDP80,NHDP90,NHDP95,NHDP99,sample_count
03432100,"HARPETH RIVER AT MCDANIEL, TN",35.8325649451443,-86.6988861380589,66.6,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.3035,25.512,.3487,287.76626,140.1032,4.727069633,33.661138154,55.098040289,0,0,37.474,12.9365,49.5895,0,,,,,,,,,,,,,,,,194
03433040,"LITTLE HARPETH RV AT EDWIN WARNER PK NR BELLEVUE,T",36.0503384088166,-86.9091682359122,,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.8757,26.9714,.3342,278.88577,135.9993,42.852048466,37.438100255,16.557928435,0,2289,34.7358,13.3479,51.9163,0,,,,,,,,,,,,,,,,6
03433500,"HARPETH RIVER AT BELLEVUE, TN",36.054563335079,-86.9285102204907,409,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.7182,27.2332,.3435,285.81205,138.7068,16.484856234,39.095325496,39.89982001,0,4026,34.8124,14.0103,51.1772,0,2.6,9.6,17,35,46,61,110,194,312,490,614,779,1380,2290,6812.8,15
03433628,"S HARPETH CR (S2-US1) AT SR840 NR CRAIGFIELD, TN",35.9047222222222,-87.1513888888889,,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.214,33.2329,.375,286.898,139.197,3.91319815,44.681607969,48.843827819,0,0,37.3225,9.3987,53.2788,0,,,,,,,,,,,,,,,,17
03433629,"S HARPETH CR (S2-DS1) AT SR840 NR CRAIGFIELD, TN",35.9052777777778,-87.1508333333333,,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.214,33.2329,.375,286.898,139.197,3.91319815,44.681607969,48.843827819,0,0,37.3225,9.3987,53.2788,0,,,,,,,,,,,,,,,,10
03433630,SOUTH HARPETH CR (S2-DS2) AT SR840,35.9058333333333,-87.1502777777778,.19,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.214,33.2329,.375,286.898,139.197,3.91319815,44.681607969,48.843827819,0,0,37.3225,9.3987,53.2788,0,,,,,,,,,,,,,,,,40
03433632,UNNAMED TRIB (S5-US1) TO S HARPETH CR AT SR 840,35.895,-87.1341666666667,.31,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.214,33.0013,.375,287.103,139.424,3.849259758,44.145356662,49.232839838,0,0,37.3225,9.3987,53.2788,0,,,,,,,,,,,,,,,,156
03433633,UNNAMED TRIB (S5-DS1) TO S HARPETH CR AT SR 840,35.8972222222222,-87.1327777777778,,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.214,33.0013,.375,287.103,139.424,3.849259758,44.145356662,49.232839838,0,0,37.3225,9.3987,53.2788,0,,,,,,,,,,,,,,,,81
03433634,UNNAMED TRIB (S4-DS1) TO S HARPETH CR AT SR 840,35.9005555555556,-87.1411111111111,.29,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.214,33.0013,.375,287.103,139.424,3.849259758,44.145356662,49.232839838,0,0,37.3225,9.3987,53.2788,0,,,,,,,,,,,,,,,,129
03433635,UNNAMED TRIB (S4-DS2) TO S HARPETH CR NR CRAIGFIEL,35.9005555555556,-87.1408333333333,,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.214,33.0013,.375,287.103,139.424,3.849259758,44.145356662,49.232839838,0,0,37.3225,9.3987,53.2788,0,,,,,,,,,,,,,,,,8
